"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"A","NA",8,"NA",30,-7.5,"NA"
"A","NA",8,"NA",30,7.5,"NA"
"A","NA",8,"NA",20,-7.5,"NA"
"A","NA",8,"NA",20,7.5,"NA"
"A","NA",8,"NA",40,-7.5,"NA"
"A","NA",8,"NA",40,7.5,"NA"
"A","NA",8,"NA",50,-7.5,"NA"
"A","NA",8,"NA",50,7.5,"NA"
"A","NA",8,"NA",60,-7.5,"NA"
"A","NA",8,"NA",60,7.5,"NA"
"A","NA",6.5,"NA",30,-7.5,"NA"
"A","NA",6.5,"NA",30,7.5,"NA"
"A","NA",6.5,"NA",20,-7.5,"NA"
"A","NA",6.5,"NA",20,7.5,"NA"
"A","NA",6.5,"NA",40,-7.5,"NA"
"A","NA",6.5,"NA",40,7.5,"NA"
"A","NA",6.5,"NA",50,-7.5,"NA"
"A","NA",6.5,"NA",50,7.5,"NA"
"A","NA",6.5,"NA",60,-7.5,"NA"
"A","NA",6.5,"NA",60,7.5,"NA"
"A","NA",9.5,"NA",30,-7.5,"NA"
"A","NA",9.5,"NA",30,7.5,"NA"
"A","NA",9.5,"NA",20,-7.5,"NA"
"A","NA",9.5,"NA",20,7.5,"NA"
"A","NA",9.5,"NA",40,-7.5,"NA"
"A","NA",9.5,"NA",40,7.5,"NA"
"A","NA",9.5,"NA",50,-7.5,"NA"
"A","NA",9.5,"NA",50,7.5,"NA"
"A","NA",9.5,"NA",60,-7.5,"NA"
"A","NA",9.5,"NA",60,7.5,"NA"
"A","NA",10,"NA",30,-7.5,"NA"
"A","NA",10,"NA",30,7.5,"NA"
"A","NA",10,"NA",20,-7.5,"NA"
"A","NA",10,"NA",20,7.5,"NA"
"A","NA",10,"NA",40,-7.5,"NA"
"A","NA",10,"NA",40,7.5,"NA"
"A","NA",10,"NA",50,-7.5,"NA"
"A","NA",10,"NA",50,7.5,"NA"
"A","NA",10,"NA",60,-7.5,"NA"
"A","NA",10,"NA",60,7.5,"NA"
"A","NA",8.5,"NA",30,-7.5,"NA"
"A","NA",8.5,"NA",30,7.5,"NA"
"A","NA",8.5,"NA",20,-7.5,"NA"
"A","NA",8.5,"NA",20,7.5,"NA"
"A","NA",8.5,"NA",40,-7.5,"NA"
"A","NA",8.5,"NA",40,7.5,"NA"
"A","NA",8.5,"NA",50,-7.5,"NA"
"A","NA",8.5,"NA",50,7.5,"NA"
"A","NA",8.5,"NA",60,-7.5,"NA"
"A","NA",8.5,"NA",60,7.5,"NA"
"A","NA",11.5,"NA",30,-7.5,"NA"
"A","NA",11.5,"NA",30,7.5,"NA"
"A","NA",11.5,"NA",20,-7.5,"NA"
"A","NA",11.5,"NA",20,7.5,"NA"
"A","NA",11.5,"NA",40,-7.5,"NA"
"A","NA",11.5,"NA",40,7.5,"NA"
"A","NA",11.5,"NA",50,-7.5,"NA"
"A","NA",11.5,"NA",50,7.5,"NA"
"A","NA",11.5,"NA",60,-7.5,"NA"
"A","NA",11.5,"NA",60,7.5,"NA"
"A","NA",12,"NA",30,-7.5,"NA"
"A","NA",12,"NA",30,7.5,"NA"
"A","NA",12,"NA",20,-7.5,"NA"
"A","NA",12,"NA",20,7.5,"NA"
"A","NA",12,"NA",40,-7.5,"NA"
"A","NA",12,"NA",40,7.5,"NA"
"A","NA",12,"NA",50,-7.5,"NA"
"A","NA",12,"NA",50,7.5,"NA"
"A","NA",12,"NA",60,-7.5,"NA"
"A","NA",12,"NA",60,7.5,"NA"
"A","NA",10.5,"NA",30,-7.5,"NA"
"A","NA",10.5,"NA",30,7.5,"NA"
"A","NA",10.5,"NA",20,-7.5,"NA"
"A","NA",10.5,"NA",20,7.5,"NA"
"A","NA",10.5,"NA",40,-7.5,"NA"
"A","NA",10.5,"NA",40,7.5,"NA"
"A","NA",10.5,"NA",50,-7.5,"NA"
"A","NA",10.5,"NA",50,7.5,"NA"
"A","NA",10.5,"NA",60,-7.5,"NA"
"A","NA",10.5,"NA",60,7.5,"NA"
"A","NA",13.5,"NA",30,-7.5,"NA"
"A","NA",13.5,"NA",30,7.5,"NA"
"A","NA",13.5,"NA",20,-7.5,"NA"
"A","NA",13.5,"NA",20,7.5,"NA"
"A","NA",13.5,"NA",40,-7.5,"NA"
"A","NA",13.5,"NA",40,7.5,"NA"
"A","NA",13.5,"NA",50,-7.5,"NA"
"A","NA",13.5,"NA",50,7.5,"NA"
"A","NA",13.5,"NA",60,-7.5,"NA"
"A","NA",13.5,"NA",60,7.5,"NA"
