Modality condition,TTCv [s],TTCa [s],vV [km/h],vA [km/h],Sound level [dB],vehicleSize
AV,8,8,30,30,-7.5,small
AV,8,8,30,30,-7.5,large
AV,8,8,30,30,7.5,small
AV,8,8,30,30,7.5,large
AV,8,8,30,20,-7.5,small
AV,8,8,30,20,-7.5,large
AV,8,8,30,20,7.5,small
AV,8,8,30,20,7.5,large
AV,8,8,30,40,-7.5,small
AV,8,8,30,40,-7.5,large
AV,8,8,30,40,7.5,small
AV,8,8,30,40,7.5,large
AV,8,8,20,30,-7.5,small
AV,8,8,20,30,-7.5,large
AV,8,8,20,30,7.5,small
AV,8,8,20,30,7.5,large
AV,8,8,40,30,-7.5,small
AV,8,8,40,30,-7.5,large
AV,8,8,40,30,7.5,small
AV,8,8,40,30,7.5,large
AV,8,8,50,50,-7.5,small
AV,8,8,50,50,-7.5,large
AV,8,8,50,50,7.5,small
AV,8,8,50,50,7.5,large
AV,8,8,50,40,-7.5,small
AV,8,8,50,40,-7.5,large
AV,8,8,50,40,7.5,small
AV,8,8,50,40,7.5,large
AV,8,8,50,60,-7.5,small
AV,8,8,50,60,-7.5,large
AV,8,8,50,60,7.5,small
AV,8,8,50,60,7.5,large
AV,8,8,40,50,-7.5,small
AV,8,8,40,50,-7.5,large
AV,8,8,40,50,7.5,small
AV,8,8,40,50,7.5,large
AV,8,8,60,50,-7.5,small
AV,8,8,60,50,-7.5,large
AV,8,8,60,50,7.5,small
AV,8,8,60,50,7.5,large
AV,8,6.5,30,30,-7.5,small
AV,8,6.5,30,30,-7.5,large
AV,8,6.5,30,30,7.5,small
AV,8,6.5,30,30,7.5,large
AV,8,6.5,30,20,-7.5,small
AV,8,6.5,30,20,-7.5,large
AV,8,6.5,30,20,7.5,small
AV,8,6.5,30,20,7.5,large
AV,8,6.5,30,40,-7.5,small
AV,8,6.5,30,40,-7.5,large
AV,8,6.5,30,40,7.5,small
AV,8,6.5,30,40,7.5,large
AV,8,6.5,20,30,-7.5,small
AV,8,6.5,20,30,-7.5,large
AV,8,6.5,20,30,7.5,small
AV,8,6.5,20,30,7.5,large
AV,8,6.5,40,30,-7.5,small
AV,8,6.5,40,30,-7.5,large
AV,8,6.5,40,30,7.5,small
AV,8,6.5,40,30,7.5,large
AV,8,6.5,50,50,-7.5,small
AV,8,6.5,50,50,-7.5,large
AV,8,6.5,50,50,7.5,small
AV,8,6.5,50,50,7.5,large
AV,8,6.5,50,40,-7.5,small
AV,8,6.5,50,40,-7.5,large
AV,8,6.5,50,40,7.5,small
AV,8,6.5,50,40,7.5,large
AV,8,6.5,50,60,-7.5,small
AV,8,6.5,50,60,-7.5,large
AV,8,6.5,50,60,7.5,small
AV,8,6.5,50,60,7.5,large
AV,8,6.5,40,50,-7.5,small
AV,8,6.5,40,50,-7.5,large
AV,8,6.5,40,50,7.5,small
AV,8,6.5,40,50,7.5,large
AV,8,6.5,60,50,-7.5,small
AV,8,6.5,60,50,-7.5,large
AV,8,6.5,60,50,7.5,small
AV,8,6.5,60,50,7.5,large
AV,8,9.5,30,30,-7.5,small
AV,8,9.5,30,30,-7.5,large
AV,8,9.5,30,30,7.5,small
AV,8,9.5,30,30,7.5,large
AV,8,9.5,30,20,-7.5,small
AV,8,9.5,30,20,-7.5,large
AV,8,9.5,30,20,7.5,small
AV,8,9.5,30,20,7.5,large
AV,8,9.5,30,40,-7.5,small
AV,8,9.5,30,40,-7.5,large
AV,8,9.5,30,40,7.5,small
AV,8,9.5,30,40,7.5,large
AV,8,9.5,20,30,-7.5,small
