"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"AV",1.5,1.5,30,30,-7.5,"small"
"AV",1.5,1.5,30,30,-7.5,"large"
"AV",1.5,1.5,30,30,7.5,"small"
"AV",1.5,1.5,30,30,7.5,"large"
"AV",1.5,1.5,30,20,-7.5,"small"
"AV",1.5,1.5,30,20,-7.5,"large"
"AV",1.5,1.5,30,20,7.5,"small"
"AV",1.5,1.5,30,20,7.5,"large"
"AV",1.5,1.5,30,40,-7.5,"small"
"AV",1.5,1.5,30,40,-7.5,"large"
"AV",1.5,1.5,30,40,7.5,"small"
"AV",1.5,1.5,30,40,7.5,"large"
"AV",1.5,1.5,20,30,-7.5,"small"
"AV",1.5,1.5,20,30,-7.5,"large"
"AV",1.5,1.5,20,30,7.5,"small"
"AV",1.5,1.5,20,30,7.5,"large"
"AV",1.5,1.5,40,30,-7.5,"small"
"AV",1.5,1.5,40,30,-7.5,"large"
"AV",1.5,1.5,40,30,7.5,"small"
"AV",1.5,1.5,40,30,7.5,"large"
"AV",1.5,1.5,50,50,-7.5,"small"
"AV",1.5,1.5,50,50,-7.5,"large"
"AV",1.5,1.5,50,50,7.5,"small"
"AV",1.5,1.5,50,50,7.5,"large"
"AV",1.5,1.5,50,40,-7.5,"small"
"AV",1.5,1.5,50,40,-7.5,"large"
"AV",1.5,1.5,50,40,7.5,"small"
"AV",1.5,1.5,50,40,7.5,"large"
"AV",1.5,1.5,50,60,-7.5,"small"
"AV",1.5,1.5,50,60,-7.5,"large"
"AV",1.5,1.5,50,60,7.5,"small"
"AV",1.5,1.5,50,60,7.5,"large"
"AV",1.5,1.5,40,50,-7.5,"small"
"AV",1.5,1.5,40,50,-7.5,"large"
"AV",1.5,1.5,40,50,7.5,"small"
"AV",1.5,1.5,40,50,7.5,"large"
"AV",1.5,1.5,60,50,-7.5,"small"
"AV",1.5,1.5,60,50,-7.5,"large"
"AV",1.5,1.5,60,50,7.5,"small"
"AV",1.5,1.5,60,50,7.5,"large"
"AV",1.5,0.75,30,30,-7.5,"small"
"AV",1.5,0.75,30,30,-7.5,"large"
"AV",1.5,0.75,30,30,7.5,"small"
"AV",1.5,0.75,30,30,7.5,"large"
"AV",1.5,0.75,30,20,-7.5,"small"
"AV",1.5,0.75,30,20,-7.5,"large"
"AV",1.5,0.75,30,20,7.5,"small"
"AV",1.5,0.75,30,20,7.5,"large"
"AV",1.5,0.75,30,40,-7.5,"small"
"AV",1.5,0.75,30,40,-7.5,"large"
"AV",1.5,0.75,30,40,7.5,"small"
"AV",1.5,0.75,30,40,7.5,"large"
"AV",1.5,0.75,20,30,-7.5,"small"
"AV",1.5,0.75,20,30,-7.5,"large"
"AV",1.5,0.75,20,30,7.5,"small"
"AV",1.5,0.75,20,30,7.5,"large"
"AV",1.5,0.75,40,30,-7.5,"small"
"AV",1.5,0.75,40,30,-7.5,"large"
"AV",1.5,0.75,40,30,7.5,"small"
"AV",1.5,0.75,40,30,7.5,"large"
"AV",1.5,0.75,50,50,-7.5,"small"
"AV",1.5,0.75,50,50,-7.5,"large"
"AV",1.5,0.75,50,50,7.5,"small"
