"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"V",1.5,"NA",30,"NA","NA","small"
"V",1.5,"NA",30,"NA","NA","large"
"V",1.5,"NA",20,"NA","NA","small"
"V",1.5,"NA",20,"NA","NA","large"
"V",1.5,"NA",40,"NA","NA","small"
"V",1.5,"NA",40,"NA","NA","large"
"V",1.5,"NA",50,"NA","NA","small"
"V",1.5,"NA",50,"NA","NA","large"
"V",1.5,"NA",60,"NA","NA","small"
"V",1.5,"NA",60,"NA","NA","large"
"V",0.75,"NA",30,"NA","NA","small"
"V",0.75,"NA",30,"NA","NA","large"
"V",0.75,"NA",20,"NA","NA","small"
"V",0.75,"NA",20,"NA","NA","large"
"V",0.75,"NA",40,"NA","NA","small"
"V",0.75,"NA",40,"NA","NA","large"
"V",0.75,"NA",50,"NA","NA","small"
"V",0.75,"NA",50,"NA","NA","large"
"V",0.75,"NA",60,"NA","NA","small"
"V",0.75,"NA",60,"NA","NA","large"
"V",2.25,"NA",30,"NA","NA","small"
"V",2.25,"NA",30,"NA","NA","large"
"V",2.25,"NA",20,"NA","NA","small"
"V",2.25,"NA",20,"NA","NA","large"
"V",2.25,"NA",40,"NA","NA","small"
"V",2.25,"NA",40,"NA","NA","large"
"V",2.25,"NA",50,"NA","NA","small"
"V",2.25,"NA",50,"NA","NA","large"
"V",2.25,"NA",60,"NA","NA","small"
"V",2.25,"NA",60,"NA","NA","large"
"V",3.25,"NA",30,"NA","NA","small"
"V",3.25,"NA",30,"NA","NA","large"
"V",3.25,"NA",20,"NA","NA","small"
"V",3.25,"NA",20,"NA","NA","large"
"V",3.25,"NA",40,"NA","NA","small"
"V",3.25,"NA",40,"NA","NA","large"
"V",3.25,"NA",50,"NA","NA","small"
"V",3.25,"NA",50,"NA","NA","large"
"V",3.25,"NA",60,"NA","NA","small"
"V",3.25,"NA",60,"NA","NA","large"
"V",4.25,"NA",30,"NA","NA","small"
"V",4.25,"NA",30,"NA","NA","large"
"V",4.25,"NA",20,"NA","NA","small"
"V",4.25,"NA",20,"NA","NA","large"
"V",4.25,"NA",40,"NA","NA","small"
"V",4.25,"NA",40,"NA","NA","large"
"V",4.25,"NA",50,"NA","NA","small"
"V",4.25,"NA",50,"NA","NA","large"
"V",4.25,"NA",60,"NA","NA","small"
"V",4.25,"NA",60,"NA","NA","large"
"V",5,"NA",30,"NA","NA","small"
"V",5,"NA",30,"NA","NA","large"
"V",5,"NA",20,"NA","NA","small"
"V",5,"NA",20,"NA","NA","large"
"V",5,"NA",40,"NA","NA","small"
"V",5,"NA",40,"NA","NA","large"
"V",5,"NA",50,"NA","NA","small"
"V",5,"NA",50,"NA","NA","large"
"V",5,"NA",60,"NA","NA","small"
"V",5,"NA",60,"NA","NA","large"
"V",3.6,"NA",30,"NA","NA","small"
"V",3.6,"NA",30,"NA","NA","large"
"V",3.6,"NA",20,"NA","NA","small"
"V",3.6,"NA",20,"NA","NA","large"
"V",3.6,"NA",40,"NA","NA","small"
"V",3.6,"NA",40,"NA","NA","large"
"V",3.6,"NA",50,"NA","NA","small"
"V",3.6,"NA",50,"NA","NA","large"
"V",3.6,"NA",60,"NA","NA","small"
"V",3.6,"NA",60,"NA","NA","large"
"V",6.4,"NA",30,"NA","NA","small"
"V",6.4,"NA",30,"NA","NA","large"
"V",6.4,"NA",20,"NA","NA","small"
"V",6.4,"NA",20,"NA","NA","large"
"V",6.4,"NA",40,"NA","NA","small"
"V",6.4,"NA",40,"NA","NA","large"
"V",6.4,"NA",50,"NA","NA","small"
"V",6.4,"NA",50,"NA","NA","large"
"V",6.4,"NA",60,"NA","NA","small"
"V",6.4,"NA",60,"NA","NA","large"
