"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"A","NA",1.5,"NA",30,-7.5,"NA"
"A","NA",1.5,"NA",30,7.5,"NA"
"A","NA",1.5,"NA",20,-7.5,"NA"
"A","NA",1.5,"NA",20,7.5,"NA"
"A","NA",1.5,"NA",40,-7.5,"NA"
"A","NA",1.5,"NA",40,7.5,"NA"
"A","NA",1.5,"NA",50,-7.5,"NA"
"A","NA",1.5,"NA",50,7.5,"NA"
"A","NA",1.5,"NA",60,-7.5,"NA"
"A","NA",1.5,"NA",60,7.5,"NA"
"A","NA",0.75,"NA",30,-7.5,"NA"
"A","NA",0.75,"NA",30,7.5,"NA"
"A","NA",0.75,"NA",20,-7.5,"NA"
"A","NA",0.75,"NA",20,7.5,"NA"
"A","NA",0.75,"NA",40,-7.5,"NA"
"A","NA",0.75,"NA",40,7.5,"NA"
"A","NA",0.75,"NA",50,-7.5,"NA"
"A","NA",0.75,"NA",50,7.5,"NA"
"A","NA",0.75,"NA",60,-7.5,"NA"
"A","NA",0.75,"NA",60,7.5,"NA"
"A","NA",2.25,"NA",30,-7.5,"NA"
"A","NA",2.25,"NA",30,7.5,"NA"
"A","NA",2.25,"NA",20,-7.5,"NA"
"A","NA",2.25,"NA",20,7.5,"NA"
"A","NA",2.25,"NA",40,-7.5,"NA"
"A","NA",2.25,"NA",40,7.5,"NA"
"A","NA",2.25,"NA",50,-7.5,"NA"
"A","NA",2.25,"NA",50,7.5,"NA"
"A","NA",2.25,"NA",60,-7.5,"NA"
"A","NA",2.25,"NA",60,7.5,"NA"
"A","NA",3.25,"NA",30,-7.5,"NA"
"A","NA",3.25,"NA",30,7.5,"NA"
"A","NA",3.25,"NA",20,-7.5,"NA"
"A","NA",3.25,"NA",20,7.5,"NA"
"A","NA",3.25,"NA",40,-7.5,"NA"
"A","NA",3.25,"NA",40,7.5,"NA"
"A","NA",3.25,"NA",50,-7.5,"NA"
"A","NA",3.25,"NA",50,7.5,"NA"
"A","NA",3.25,"NA",60,-7.5,"NA"
"A","NA",3.25,"NA",60,7.5,"NA"
"A","NA",4.25,"NA",30,-7.5,"NA"
"A","NA",4.25,"NA",30,7.5,"NA"
"A","NA",4.25,"NA",20,-7.5,"NA"
"A","NA",4.25,"NA",20,7.5,"NA"
"A","NA",4.25,"NA",40,-7.5,"NA"
"A","NA",4.25,"NA",40,7.5,"NA"
"A","NA",4.25,"NA",50,-7.5,"NA"
"A","NA",4.25,"NA",50,7.5,"NA"
"A","NA",4.25,"NA",60,-7.5,"NA"
"A","NA",4.25,"NA",60,7.5,"NA"
"A","NA",5,"NA",30,-7.5,"NA"
"A","NA",5,"NA",30,7.5,"NA"
"A","NA",5,"NA",20,-7.5,"NA"
"A","NA",5,"NA",20,7.5,"NA"
"A","NA",5,"NA",40,-7.5,"NA"
"A","NA",5,"NA",40,7.5,"NA"
"A","NA",5,"NA",50,-7.5,"NA"
"A","NA",5,"NA",50,7.5,"NA"
"A","NA",5,"NA",60,-7.5,"NA"
"A","NA",5,"NA",60,7.5,"NA"
"A","NA",3.6,"NA",30,-7.5,"NA"
"A","NA",3.6,"NA",30,7.5,"NA"
"A","NA",3.6,"NA",20,-7.5,"NA"
"A","NA",3.6,"NA",20,7.5,"NA"
"A","NA",3.6,"NA",40,-7.5,"NA"
"A","NA",3.6,"NA",40,7.5,"NA"
"A","NA",3.6,"NA",50,-7.5,"NA"
"A","NA",3.6,"NA",50,7.5,"NA"
"A","NA",3.6,"NA",60,-7.5,"NA"
"A","NA",3.6,"NA",60,7.5,"NA"
"A","NA",6.4,"NA",30,-7.5,"NA"
"A","NA",6.4,"NA",30,7.5,"NA"
"A","NA",6.4,"NA",20,-7.5,"NA"
"A","NA",6.4,"NA",20,7.5,"NA"
"A","NA",6.4,"NA",40,-7.5,"NA"
"A","NA",6.4,"NA",40,7.5,"NA"
"A","NA",6.4,"NA",50,-7.5,"NA"
"A","NA",6.4,"NA",50,7.5,"NA"
"A","NA",6.4,"NA",60,-7.5,"NA"
"A","NA",6.4,"NA",60,7.5,"NA"
